Carbonate budgets,Coral production,CCA production,Micro bioerosion,Macro bioerosion,PF erosion,Urchin erosion,Coral cover,CCA cover,Macroalgae cover,Turf cover,Transect,Year
7.074684593,8.305537738,0.011738364,-0.422641509,0,-1.986935803,-0.03695,54.12748171,2.821316614,19.64472309,20.06269593,1,2015
5.937618294,6.851725968,0.355452285,-0.384559959,0,-1.178829684,-0.102,54.18023887,10.09771987,17.69815418,16.72095548,2,2015
8.022762224,8.594379278,0.628132407,-0.355569462,0,-0.071335266,-0.06118,64.87562189,6.965174129,11.44278607,15.12437811,3,2015
7.306908449,8.458744341,0,-0.368835893,0,-0.796909842,0,65.18987342,4.852320675,16.87763713,12.55274262,4,2015
5.773612564,6.96353298,0,-0.406920415,0,-0.365671949,0,43.25897187,10.1842871,21.24151309,19.01066925,5,2015
2.519230191,3.671834754,0,-0.349514563,0,-0.961045395,-0.02009,39.67022308,13.09408342,22.11445199,22.59941804,6,2015
,,,,,-0.740826318,,,,,,7,2015
,,,,,-0.81034852,,,,,,8,2015
,,,,,-0.448229335,,,,,,9,2015
,,,,,-0.465354771,,,,,,10,2015
5.479116409,6.398820558,0.07941425,-0.365626866,0,-0.368066602,0,45.62899787,19.18976546,6.503198294,18.12366738,1,2019
7.61383979,8.589171948,0.023786241,-0.365626866,0,-0.874483629,0,61.02783726,6.316916487,8.35117773,17.66595289,2,2019
7.451913535,8.451785815,0.019776119,-0.365626866,0,-0.145096168,-0.02053,71.21535181,5.65031983,11.30063966,5.756929638,3,2019
6.903849778,7.918888372,0.011452939,-0.393,0,-0.747412703,0,71.40039448,3.15581854,3.451676528,13.60946745,4,2019
5.795674256,6.785503244,0.011141352,-0.347638806,0,-0.868836946,-0.01984,45.97014925,2.686567164,7.960199005,16.61691542,5,2019
3.739061392,4.800236708,0.036096218,-0.393,0,-1.336021207,-0.07078,50.94527363,10.54726368,21.49253731,8.656716419,6,2019
,,,,,-0.176952331,,,,,,7,2019
,,,,,-1.410411992,,,,,,8,2019
,,,,,-0.052141652,,,,,,9,2019
,,,,,-0.355492107,,,,,,10,2019
0.999755195,4.30226834,0.089768646,-0.358561417,-0.021720374,-3.373794977,0,43.85447394,25.5653884,6.293018682,6.391347099,1,2022
2.658809301,5.101891522,0.960503017,-0.349192943,-0.042392294,-5.75650134,0,61.75024582,6.882989184,2.55653884,11.50442478,2,2022
3.717354128,6.549917933,0.601140892,-0.373256557,-0.04844814,-6.173251108,0,64.30678466,12.88102262,5.40806293,9.931170108,3,2022
1.094673193,4.507165909,0,-0.399012486,-0.00104023,-2.201981351,-0.00044,40.21632252,4.523107178,6.882989184,21.63225172,4,2022
2.71978209,6.10619174,0,-0.350101235,-0.021108416,-4.768552124,-0.0032,58.30875123,7.079646018,8.161258604,8.751229105,5,2022
1.346509803,4.799251528,0,-0.35891468,-0.020947044,-2.566617254,-0.06088,49.65585054,21.43559489,2.55653884,8.357915438,6,2022
,,,,,-2.543055794,,,,,,7,2022
,,,,,-1.295387714,,,,,,8,2022
,,,,,-1.359296155,,,,,,9,2022
,,,,,-0.078769591,,,,,,10,2022
