Date,Time,PAR (raw),Datetime (CDT),PAR (calc),,Serial #:,5953
10/4/22,12:52:40,3463,10/4/2022 7:52:40,0.572530502,,Location:,NCRMP Suite - Flower Garden Banks
10/4/22,12:52:41,3042,10/4/2022 7:52:41,0.409519844,,Digital Im:,1.3589
10/4/22,12:52:42,3042,10/4/2022 7:52:42,0.409519844,,Digital a1:,2893
10/4/22,12:52:43,3119,10/4/2022 7:52:43,0.435402502,,Digital a0:,4549
10/4/22,12:52:45,3105,10/4/2022 7:52:45,0.430577819,,Note:,"instrument times logged in UTC, but converted here to CDT"
10/4/22,12:52:46,2915,10/4/2022 7:52:46,0.370148407,,,
10/4/22,12:52:47,2850,10/4/2022 7:52:47,0.35148586,,,
10/4/22,12:52:48,3075,10/4/2022 7:52:48,0.420418478,,,
10/4/22,12:52:49,3068,10/4/2022 7:52:49,0.418082666,,,
10/4/22,13:07:40,7363,10/4/2022 8:07:40,12.76086767,,,
10/4/22,13:07:41,7554,10/4/2022 8:07:41,14.85599129,,,
10/4/22,13:07:42,7206,10/4/2022 8:07:42,11.26188998,,,
10/4/22,13:07:43,5659,10/4/2022 8:07:43,3.287549154,,,
10/4/22,13:07:44,9037,10/4/2022 8:07:44,48.36356398,,,
10/4/22,13:07:45,11051,10/4/2022 8:07:45,240.2599872,,,
10/4/22,13:07:46,8985,10/4/2022 8:07:46,46.40276676,,,
10/4/22,13:07:47,8133,10/4/2022 8:07:47,23.55265665,,,
10/4/22,13:07:49,8275,10/4/2022 8:07:49,26.37083594,,,
10/4/22,13:07:50,8230,10/4/2022 8:07:50,25.44304637,,,
10/4/22,13:22:41,9273,10/4/2022 8:22:41,58.35720933,,,
10/4/22,13:22:42,9401,10/4/2022 8:22:42,64.61587716,,,
10/4/22,13:22:43,9317,10/4/2022 8:22:43,60.43710334,,,
10/4/22,13:22:44,9326,10/4/2022 8:22:44,60.87158336,,,
10/4/22,13:22:45,9417,10/4/2022 8:22:45,65.4439999,,,
10/4/22,13:22:46,9310,10/4/2022 8:22:46,60.10131958,,,
10/4/22,13:22:47,9327,10/4/2022 8:22:47,60.92005131,,,
10/4/22,13:22:48,9454,10/4/2022 8:22:48,67.39991164,,,
10/4/22,13:22:50,9309,10/4/2022 8:22:50,60.05350301,,,
10/4/22,13:22:51,9280,10/4/2022 8:22:51,58.68324881,,,
10/4/22,13:37:42,9738,10/4/2022 8:37:42,84.49428182,,,
10/4/22,13:37:43,9771,10/4/2022 8:37:43,86.74294505,,,
10/4/22,13:37:44,9819,10/4/2022 8:37:44,90.12098634,,,
10/4/22,13:37:45,9746,10/4/2022 8:37:45,85.03400111,,,
10/4/22,13:37:46,9747,10/4/2022 8:37:46,85.10170798,,,
10/4/22,13:37:47,9787,10/4/2022 8:37:47,87.85465024,,,
10/4/22,13:37:48,9840,10/4/2022 8:37:48,91.63994863,,,
10/4/22,13:37:49,9751,10/4/2022 8:37:49,85.37307497,,,
10/4/22,13:37:51,9819,10/4/2022 8:37:51,90.12098634,,,
10/4/22,13:37:52,9782,10/4/2022 8:37:52,87.50572037,,,
10/4/22,13:52:43,10178,10/4/2022 8:52:43,119.9274429,,,
10/4/22,13:52:44,10167,10/4/2022 8:52:44,118.8820519,,,
10/4/22,13:52:45,10132,10/4/2022 8:52:45,115.6160491,,,
10/4/22,13:52:46,10096,10/4/2022 8:52:46,112.350315,,,
10/4/22,13:52:47,10307,10/4/2022 8:52:47,132.8950988,,,
10/4/22,13:52:48,10196,10/4/2022 8:52:48,121.6579485,,,
10/4/22,13:52:49,10074,10/4/2022 8:52:49,110.4001673,,,
10/4/22,13:52:50,10279,10/4/2022 8:52:50,129.9662026,,,
10/4/22,13:52:52,10184,10/4/2022 8:52:52,120.5015256,,,
10/4/22,13:52:53,10124,10/4/2022 8:52:53,114.8822225,,,
10/4/22,14:07:44,9181,10/4/2022 9:07:44,54.23674491,,,
10/4/22,14:07:45,9167,10/4/2022 9:07:45,53.63574899,,,
10/4/22,14:07:46,9175,10/4/2022 9:07:46,53.978355,,,
10/4/22,14:07:47,9194,10/4/2022 9:07:47,54.80084083,,,
10/4/22,14:07:48,9203,10/4/2022 9:07:48,55.19480198,,,
10/4/22,14:07:49,9167,10/4/2022 9:07:49,53.63574899,,,
10/4/22,14:07:50,9161,10/4/2022 9:07:50,53.38022229,,,
10/4/22,14:07:51,9179,10/4/2022 9:07:51,54.1504778,,,
10/4/22,14:07:53,9213,10/4/2022 9:07:53,55.63585916,,,
10/4/22,14:07:54,9174,10/4/2022 9:07:54,53.93540985,,,
10/4/22,14:22:45,10349,10/4/2022 9:22:45,137.4126661,,,
10/4/22,14:22:46,10501,10/4/2022 9:22:46,155.0841382,,,
10/4/22,14:22:47,10543,10/4/2022 9:22:47,160.3559883,,,
10/4/22,14:22:48,10446,10/4/2022 9:22:48,148.4417188,,,
10/4/22,14:22:49,10452,10/4/2022 9:22:49,149.152297,,,
10/4/22,14:22:50,10478,10/4/2022 9:22:50,152.2709848,,,
10/4/22,14:22:51,10530,10/4/2022 9:22:51,158.7053538,,,
10/4/22,14:22:52,10422,10/4/2022 9:22:52,145.6330978,,,
10/4/22,14:22:54,10298,10/4/2022 9:22:54,131.9465401,,,
10/4/22,14:22:55,10566,10/4/2022 9:22:55,163.3185094,,,
10/4/22,14:37:46,10294,10/4/2022 9:37:46,131.5271346,,,
10/4/22,14:37:47,10371,10/4/2022 9:37:47,139.8399721,,,
10/4/22,14:37:48,10302,10/4/2022 9:37:48,132.367283,,,
10/4/22,14:37:49,10252,10/4/2022 9:37:49,127.2030596,,,
10/4/22,14:37:50,10461,10/4/2022 9:37:50,150.2245471,,,
10/4/22,14:37:51,10254,10/4/2022 9:37:51,127.4057067,,,
10/4/22,14:37:52,10305,10/4/2022 9:37:52,132.6837204,,,
10/4/22,14:37:53,10266,10/4/2022 9:37:53,128.6283873,,,
10/4/22,14:37:55,10316,10/4/2022 9:37:55,133.8504765,,,
10/4/22,14:37:56,10280,10/4/2022 9:37:56,130.069686,,,
10/4/22,14:52:47,10435,10/4/2022 9:52:47,147.1477727,,,
10/4/22,14:52:48,10660,10/4/2022 9:52:48,176.0060636,,,
10/4/22,14:52:49,10610,10/4/2022 9:52:49,169.1393015,,,
10/4/22,14:52:50,10437,10/4/2022 9:52:50,147.3821938,,,
10/4/22,14:52:51,10654,10/4/2022 9:52:51,175.1675511,,,
10/4/22,14:52:52,10625,10/4/2022 9:52:52,171.1707139,,,
10/4/22,14:52:53,10649,10/4/2022 9:52:53,174.471843,,,
10/4/22,14:52:54,10476,10/4/2022 9:52:54,152.0287878,,,
10/4/22,14:52:56,10788,10/4/2022 9:52:56,194.882283,,,
10/4/22,14:52:57,10478,10/4/2022 9:52:57,152.2709848,,,
10/4/22,15:07:48,10577,10/4/2022 10:07:48,164.754653,,,
10/4/22,15:07:49,10657,10/4/2022 10:07:49,175.5863068,,,
10/4/22,15:07:50,10692,10/4/2022 10:07:50,180.5463912,,,
10/4/22,15:07:51,10800,10/4/2022 10:07:51,196.7525193,,,
10/4/22,15:07:52,10703,10/4/2022 10:07:52,182.1340285,,,
10/4/22,15:07:53,10711,10/4/2022 10:07:53,183.2974356,,,
10/4/22,15:07:54,10762,10/4/2022 10:07:54,190.890866,,,
10/4/22,15:07:55,10675,10/4/2022 10:07:55,178.1199478,,,
10/4/22,15:07:57,10723,10/4/2022 10:07:57,185.056495,,,
10/4/22,15:07:58,10719,10/4/2022 10:07:58,184.4682742,,,
10/4/22,15:22:49,11041,10/4/2022 10:22:49,238.3553093,,,
10/4/22,15:22:50,11038,10/4/2022 10:22:50,237.7868558,,,
10/4/22,15:22:51,11085,10/4/2022 10:22:51,246.8504684,,,
10/4/22,15:22:52,10961,10/4/2022 10:22:52,223.6515306,,,
10/4/22,15:22:53,11127,10/4/2022 10:22:53,255.2417756,,,
10/4/22,15:22:54,11018,10/4/2022 10:22:54,234.0316559,,,
10/4/22,15:22:55,11053,10/4/2022 10:22:55,240.6427453,,,
10/4/22,15:22:56,10950,10/4/2022 10:22:56,221.701991,,,
10/4/22,15:22:58,11148,10/4/2022 10:22:58,259.5437995,,,
