Date,Time,DateTime,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s),Temperature (C)
10/4/22,30:00.0,2022-10-04 13:30:00,0.87,103.21,-0.2,0.85,28.6688
10/4/22,45:00.0,2022-10-04 13:45:00,0.38,130.88,-0.25,0.29,28.7103
10/4/22,00:00.0,2022-10-04 14:00:00,1.16,332.74,1.04,-0.53,28.7318
10/4/22,15:00.0,2022-10-04 14:15:00,1.29,358.92,1.29,-0.02,28.7447
10/4/22,30:00.0,2022-10-04 14:30:00,1.52,221.74,-1.13,-1.01,28.7662
10/4/22,45:00.0,2022-10-04 14:45:00,2.1,28.81,1.84,1.01,28.7762
10/4/22,00:00.0,2022-10-04 15:00:00,1.82,84.89,0.16,1.82,28.7862
10/4/22,15:00.0,2022-10-04 15:15:00,0.23,292.64,0.09,-0.21,28.7905
10/4/22,30:00.0,2022-10-04 15:30:00,0.3,30.65,0.26,0.15,28.7962
10/4/22,45:00.0,2022-10-04 15:45:00,1.44,295.34,0.62,-1.3,28.8091
10/4/22,00:00.0,2022-10-04 16:00:00,1.59,282.94,0.36,-1.55,28.8177
10/4/22,15:00.0,2022-10-04 16:15:00,2.24,342.54,2.13,-0.67,28.822
10/4/22,30:00.0,2022-10-04 16:30:00,1.63,309.55,1.04,-1.25,28.8277
10/4/22,45:00.0,2022-10-04 16:45:00,1.61,303.47,0.89,-1.34,28.8349
10/4/22,00:00.0,2022-10-04 17:00:00,1.93,347.74,1.89,-0.41,28.8363
10/4/22,15:00.0,2022-10-04 17:15:00,1.69,319.21,1.28,-1.1,28.8406
10/4/22,30:00.0,2022-10-04 17:30:00,1.02,346.62,1,-0.24,28.8378
10/4/22,45:00.0,2022-10-04 17:45:00,1.99,255.68,-0.49,-1.93,28.8464
10/4/22,00:00.0,2022-10-04 18:00:00,0.97,260.09,-0.17,-0.96,28.8478
10/4/22,15:00.0,2022-10-04 18:15:00,0.74,9.93,0.72,0.13,28.8406
10/4/22,30:00.0,2022-10-04 18:30:00,1.63,71.2,0.52,1.54,28.8449
10/4/22,45:00.0,2022-10-04 18:45:00,2.92,304.19,1.64,-2.41,28.8521
10/4/22,00:00.0,2022-10-04 19:00:00,1.66,353.04,1.64,-0.2,28.8435
10/4/22,15:00.0,2022-10-04 19:15:00,0.83,198.66,-0.78,-0.26,28.8349
10/4/22,30:00.0,2022-10-04 19:30:00,1.42,320.16,1.09,-0.91,28.8335
10/4/22,45:00.0,2022-10-04 19:45:00,1.49,309.15,0.94,-1.15,28.8335
10/4/22,00:00.0,2022-10-04 20:00:00,1.77,80.98,0.28,1.75,28.8392
10/4/22,15:00.0,2022-10-04 20:15:00,0.38,281.24,0.07,-0.37,28.8492
10/4/22,30:00.0,2022-10-04 20:30:00,0.94,324.62,0.76,-0.54,28.8435
10/4/22,45:00.0,2022-10-04 20:45:00,2.82,93.44,-0.17,2.82,28.8435
10/4/22,00:00.0,2022-10-04 21:00:00,1.2,341,1.14,-0.39,28.8378
